Ressource;"Code Attributaire";Attributaire;"Date d'effet (attribution)";"N° décision d'attribution"
1611;BRET;"Bretagne Telecom";10/12/2013;2013-1463
1613;DAUF;"Dauphin telecom";29/03/2000;2020-0389
1615;SEWA;Sewan;18/03/2010;2010-0313
1617;OUTR;"Outremer Telecom";09/06/1999;2019-0832
1625;BOUY;"Bouygues Telecom";06/09/2007;2007-0749
1626;VOIM;"Voip telecom";22/07/2024;2024-1352
1630;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
1638;ONET;"Free réseau";27/01/1999;2018-1336
1644;FREE;Free;12/01/2000;2019-1718
1657;MIAS;"Canal+ Telecom";27/09/2005;2025-1415
1659;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
1664;PAOP;"Paritel operateur";14/04/2011;2011-0426
1666;COMP;Completel;12/01/1999;2018-1269
1680;SOCT;"Société commerciale de télécommunication - SCT";23/10/2012;2012-1307
1690;COLT;"Colt technology services";01/01/2018;2017-1522
1697;IDOM;"Idom technologies";30/04/2013;2013-0585
4;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
7;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
8;FRTE;Orange;01/01/2017;2016-1702
9;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
